Neighbourhood_ID,Number_Starbucks
96,1
95,12
109,0
64,0
103,2
130,3
53,0
26,5
6,4
124,0
46,0
116,0
83,0
30,3
21,2
98,1
100,3
121,0
74,0
134,3
87,1
47,2
104,13
35,0
1,16
136,3
43,2
40,2
70,0
85,0
139,3
57,0
140,1
65,0
2,2
76,5
34,3
42,5
117,0
81,0
91,0
25,0
113,2
11,1
32,1
41,4
111,3
59,0
5,1
138,2
119,5
20,2
128,8
84,2
61,0
106,0
129,1
90,4
115,0
9,3
28,0
69,0
102,2
48,1
8,0
66,2
36,1
24,0
79,0
31,10
78,0
58,0
23,2
45,0
80,0
18,4
112,0
82,6
39,8
52,5
137,7
86,2
54,0
7,1
60,0
122,1
127,7
72,0
44,0
110,0
73,3
135,2
17,7
105,5
33,2
92,0
12,2
29,0
132,2
19,3
114,0
13,2
49,0
89,1
93,0
123,1
120,0
75,6
68,0
62,1
15,2
77,9
50,5
108,4
71,0
14,19
131,3
125,0
67,0
107,1
88,4
99,3
4,2
55,4
3,1
63,1
118,5
16,9
101,3
10,4
38,3
27,10
56,3
94,1
97,1
126,7
133,0
22,1
37,3
51,6
